
                     _one              13                       TK_FUNID        Not a number                   function       YES                 Leaf node 
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                        .              87                         TK_DOT        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0                   oneExpansion        Not a number             moreExpansions        NO               oneExpansion
                        x              87                     TK_FIELDID        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0                 moreExpansions        Not a number  option_single_constructed        NO             moreExpansions
                   ------               0                 moreExpansions        Not a number             moreExpansions        NO             moreExpansions
                   ------              87                            eps        Not a number             moreExpansions       YES                 Leaf node 
                   ------               0                           term        Not a number                   expPrime        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              87                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0                       expPrime        Not a number       arithmeticExpression        NO                   expPrime
                   ------               0                       expPrime        Not a number                   expPrime        NO                   expPrime
                   ------              87                            eps        Not a number                   expPrime       YES                 Leaf node 
                   ------               0                 assignmentStmt        Not a number                       stmt        NO             assignmentStmt
                        ;              87                         TK_SEM        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                     otherStmts        Not a number                 otherStmts        NO                 otherStmts
                   ------               0                           stmt        Not a number                 otherStmts        NO                       stmt
                       c2              88                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number             assignmentStmt        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              88                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                     <---              88                    TK_ASSIGNOP        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                    c3c56              88                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              88                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                           term        Not a number       arithmeticExpression        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              88                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0           arithmeticExpression        Not a number             assignmentStmt        NO       arithmeticExpression
                   ------               0         lowPrecedenceOperators        Not a number                   expPrime        NO     lowPrecedenceOperators
                        +              88                        TK_PLUS        Not a number     lowPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                       23              88                         TK_NUM                   23                       var       YES                 Leaf node 
                   ------               0                           term        Not a number                   expPrime        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              88                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0                       expPrime        Not a number       arithmeticExpression        NO                   expPrime
                   ------               0         lowPrecedenceOperators        Not a number                   expPrime        NO     lowPrecedenceOperators
                        -              88                       TK_MINUS        Not a number     lowPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                     d6b7              88                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              88                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                           term        Not a number                   expPrime        NO                       term
                   ------               0        highPrecedenceOperators        Not a number                  termPrime        NO    highPrecedenceOperators
                        *              88                         TK_MUL        Not a number    highPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                  termPrime        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                d5cb34567              88                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              88                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------               0                      termPrime        Not a number                  termPrime        NO                  termPrime
                   ------              88                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0                       expPrime        Not a number                   expPrime        NO                   expPrime
                   ------               0                       expPrime        Not a number                   expPrime        NO                   expPrime
                   ------              88                            eps        Not a number                   expPrime       YES                 Leaf node 
                   ------               0                 assignmentStmt        Not a number                       stmt        NO             assignmentStmt
                        ;              88                         TK_SEM        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                     otherStmts        Not a number                 otherStmts        NO                 otherStmts
                   ------               0                           stmt        Not a number                 otherStmts        NO                       stmt
                    b5cc2              89                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number             assignmentStmt        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              89                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                     <---              89                    TK_ASSIGNOP        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                    b5cc3              89                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              89                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                           term        Not a number       arithmeticExpression        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              89                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0           arithmeticExpression        Not a number             assignmentStmt        NO       arithmeticExpression
                   ------               0         lowPrecedenceOperators        Not a number                   expPrime        NO     lowPrecedenceOperators
                        +              89                        TK_PLUS        Not a number     lowPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                    b4cd2              89                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              89                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                           term        Not a number                   expPrime        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              89                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0                       expPrime        Not a number       arithmeticExpression        NO                   expPrime
                   ------               0                       expPrime        Not a number                   expPrime        NO                   expPrime
                   ------              89                            eps        Not a number                   expPrime       YES                 Leaf node 
                   ------               0                 assignmentStmt        Not a number                       stmt        NO             assignmentStmt
                        ;              89                         TK_SEM        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                     otherStmts        Not a number                 otherStmts        NO                 otherStmts
                   ------               0                           stmt        Not a number                 otherStmts        NO                       stmt
                     c2d5              90                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number             assignmentStmt        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              90                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                     <---              90                    TK_ASSIGNOP        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                     d5c2              90                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              90                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                           term        Not a number       arithmeticExpression        NO                       term
                   ------               0        highPrecedenceOperators        Not a number                  termPrime        NO    highPrecedenceOperators
                        *              90                         TK_MUL        Not a number    highPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                  termPrime        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                     c2c2              90                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              90                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------               0                      termPrime        Not a number                  termPrime        NO                  termPrime
                   ------              90                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0           arithmeticExpression        Not a number             assignmentStmt        NO       arithmeticExpression
                   ------               0         lowPrecedenceOperators        Not a number                   expPrime        NO     lowPrecedenceOperators
                        +              90                        TK_PLUS        Not a number     lowPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                       23              90                         TK_NUM                   23                       var       YES                 Leaf node 
                   ------               0                           term        Not a number                   expPrime        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              90                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0                       expPrime        Not a number       arithmeticExpression        NO                   expPrime
                   ------               0                       expPrime        Not a number                   expPrime        NO                   expPrime
                   ------              90                            eps        Not a number                   expPrime       YES                 Leaf node 
                   ------               0                 assignmentStmt        Not a number                       stmt        NO             assignmentStmt
                        ;              90                         TK_SEM        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                     otherStmts        Not a number                 otherStmts        NO                 otherStmts
                   ------               0                           stmt        Not a number                 otherStmts        NO                       stmt
                     c3bd              91                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number             assignmentStmt        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              91                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                     <---              91                    TK_ASSIGNOP        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                    c3c56              91                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              91                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                           term        Not a number       arithmeticExpression        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              91                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0           arithmeticExpression        Not a number             assignmentStmt        NO       arithmeticExpression
                   ------               0         lowPrecedenceOperators        Not a number                   expPrime        NO     lowPrecedenceOperators
                        +              91                        TK_PLUS        Not a number     lowPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                       40              91                         TK_NUM                   40                       var       YES                 Leaf node 
                   ------               0                           term        Not a number                   expPrime        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              91                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0                       expPrime        Not a number       arithmeticExpression        NO                   expPrime
                   ------               0         lowPrecedenceOperators        Not a number                   expPrime        NO     lowPrecedenceOperators
                        +              91                        TK_PLUS        Not a number     lowPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                     c3bd              91                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              91                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                           term        Not a number                   expPrime        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              91                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0                       expPrime        Not a number                   expPrime        NO                   expPrime
                   ------               0                       expPrime        Not a number                   expPrime        NO                   expPrime
                   ------              91                            eps        Not a number                   expPrime       YES                 Leaf node 
                   ------               0                 assignmentStmt        Not a number                       stmt        NO             assignmentStmt
                        ;              91                         TK_SEM        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                     otherStmts        Not a number                 otherStmts        NO                 otherStmts
                   ------               0                           stmt        Not a number                 otherStmts        NO                       stmt
                     c2d5              92                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number             assignmentStmt        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              92                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                     <---              92                    TK_ASSIGNOP        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                     d5c2              92                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              92                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                           term        Not a number       arithmeticExpression        NO                       term
                   ------               0        highPrecedenceOperators        Not a number                  termPrime        NO    highPrecedenceOperators
                        *              92                         TK_MUL        Not a number    highPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                  termPrime        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                     c2c2              92                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              92                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------               0                      termPrime        Not a number                  termPrime        NO                  termPrime
                   ------              92                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0           arithmeticExpression        Not a number             assignmentStmt        NO       arithmeticExpression
                   ------               0         lowPrecedenceOperators        Not a number                   expPrime        NO     lowPrecedenceOperators
                        +              92                        TK_PLUS        Not a number     lowPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                    23.34              92                        TK_RNUM                23.34                       var       YES                 Leaf node 
                   ------               0                           term        Not a number                   expPrime        NO                       term
                   ------               0         lowPrecedenceOperators        Not a number                  termPrime        NO     lowPrecedenceOperators
                        +              92                        TK_PLUS        Not a number     lowPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                       32              92                         TK_NUM                   32                       var       YES                 Leaf node 
                   ------               0                           term        Not a number                  termPrime        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              92                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------               0                       expPrime        Not a number                  termPrime        NO                   expPrime
                   ------              92                            eps        Not a number                   expPrime       YES                 Leaf node 
                   ------               0                       expPrime        Not a number       arithmeticExpression        NO                   expPrime
                   ------              92                       expPrime        Not a number                   expPrime       YES                 Leaf node 
                   ------               0                 assignmentStmt        Not a number                       stmt        NO             assignmentStmt
                   ------               0                           stmt        Not a number                     TK_SEM        NO                       stmt
                       c2              93                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number             assignmentStmt        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              93                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                     <---              93                    TK_ASSIGNOP        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                   b5cbb3              93                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                        .              93                         TK_DOT        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0                   oneExpansion        Not a number  option_single_constructed        NO               oneExpansion
               beginpoint              93                     TK_FIELDID        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                        .              93                         TK_DOT        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0                   oneExpansion        Not a number             moreExpansions        NO               oneExpansion
                        x              93                     TK_FIELDID        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0                 moreExpansions        Not a number  option_single_constructed        NO             moreExpansions
                   ------               0                 moreExpansions        Not a number             moreExpansions        NO             moreExpansions
                   ------              93                            eps        Not a number             moreExpansions       YES                 Leaf node 
                   ------               0                           term        Not a number       arithmeticExpression        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              93                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0           arithmeticExpression        Not a number             assignmentStmt        NO       arithmeticExpression
                   ------               0         lowPrecedenceOperators        Not a number                   expPrime        NO     lowPrecedenceOperators
                        +              93                        TK_PLUS        Not a number     lowPrecedenceOperators       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                   b5cbb4              93                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                        .              93                         TK_DOT        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0                   oneExpansion        Not a number  option_single_constructed        NO               oneExpansion
               beginpoint              93                     TK_FIELDID        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                        .              93                         TK_DOT        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0                   oneExpansion        Not a number             moreExpansions        NO               oneExpansion
                        x              93                     TK_FIELDID        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0                 moreExpansions        Not a number  option_single_constructed        NO             moreExpansions
                   ------               0                 moreExpansions        Not a number             moreExpansions        NO             moreExpansions
                   ------              93                            eps        Not a number             moreExpansions       YES                 Leaf node 
                   ------               0                           term        Not a number                   expPrime        NO                       term
                   ------               0                      termPrime        Not a number                       term        NO                  termPrime
                   ------              93                            eps        Not a number                  termPrime       YES                 Leaf node 
                   ------               0                       expPrime        Not a number       arithmeticExpression        NO                   expPrime
                   ------               0                       expPrime        Not a number                   expPrime        NO                   expPrime
                   ------              93                            eps        Not a number                   expPrime       YES                 Leaf node 
                   ------               0                 assignmentStmt        Not a number                       stmt        NO             assignmentStmt
                        ;              93                         TK_SEM        Not a number             assignmentStmt       YES                 Leaf node 
                   (null)               0                         TK_SEM        Not a number             assignmentStmt        NO                     TK_SEM
                   ------               0                           stmt        Not a number                 otherStmts        NO                       stmt
                     d6b7              94                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number             assignmentStmt        NO              singleOrRecId
                   ------               0      option_single_constructed        Not a number              singleOrRecId        NO  option_single_constructed
                   ------              94                            eps        Not a number  option_single_constructed       YES                 Leaf node 
                     <---              94                    TK_ASSIGNOP        Not a number             assignmentStmt       YES                 Leaf node 
                   ------               0                         factor        Not a number                       term        NO                     factor
                   ------               0                            var        Not a number                     factor        NO                        var
                    b5cb2              94                          TK_ID        Not a number              singleOrRecId       YES                 Leaf node 
                   ------               0                  singleOrRecId        Not a number                        var        NO              singleOrRecId
                        .              94                         TK_DOT        Not a number               oneExpansion       YES                 Leaf node 
                   ------               0                   oneExpansion        Not a number  option_single_constructed        NO               oneExpansion
